,0
const,0.9990793763606097
grade:A,1.4565134265916891e-27
grade:B,6.497683200171224e-40
grade:C,5.652534727778587e-28
grade:D,1.3572176924918783e-17
grade:E,7.350098218045123e-10
grade:F,0.000662627130043986
home_ownership:OWN,0.0029055753110695296
home_ownership:MORTGAGE,4.947675095026336e-18
addr_state:NM_VA,0.13030892976575598
addr_state:NY,0.02483104874294099
addr_state:OK_TN_MO_LA_MD_NC,0.0020674886570292953
addr_state:CA,0.00038967404752248113
addr_state:UT_KY_AZ_NJ,0.002568304193684474
addr_state:AR_MI_PA_OH_MN,7.297243509699162e-11
addr_state:RI_MA_DE_SD_IN,0.0003015056556106739
addr_state:GA_WA_OR,3.311465339405281e-10
addr_state:WI_MT,6.625759042153146e-10
addr_state:TX,6.211118962918563e-23
addr_state:IL_CT,1.5906399664239394e-20
addr_state:KS_SC_CO_VT_AK_MS,2.319581855774269e-27
addr_state:WV_NH_WY_DC_ME_ID,4.927103273688191e-20
initial_list_status:w,0.000729240536919339
term:36,4.264663742688485e-09
emp_length:1,3.4544919426883107e-06
emp_length:2-4,6.9635982018315616e-15
emp_length:5-6,6.654494225876875e-07
emp_length:7-9,0.000461364651553392
emp_length:10,1.2741374009294919e-14
mths_since_issue_d:<38,7.431854124716719e-144
mths_since_issue_d:38-39,1.893923488221413e-119
mths_since_issue_d:40-41,7.451058187386618e-104
mths_since_issue_d:42-48,1.2880822791697083e-63
mths_since_issue_d:49-52,6.0542826510674755e-33
mths_since_issue_d:53-64,5.242166194493106e-07
mths_since_issue_d:65-84,0.0009927384935875876
int_rate:<9.548,7.269558992679188e-33
int_rate:9.548-12.025,1.5558875385260634e-38
int_rate:12.025-15.74,2.663651786725551e-19
int_rate:15.74-20.281,4.391645541236338e-06
mths_since_earliest_cr_line:141-164,0.017747301268684054
mths_since_earliest_cr_line:165-247,0.22778461328455102
mths_since_earliest_cr_line:248-270,0.02472595920040554
mths_since_earliest_cr_line:271-352,1.744548294974671e-05
mths_since_earliest_cr_line:>352,0.0007697741408322569
delinq_2yrs:0,0.06007792228912252
delinq_2yrs:1-3,0.09094116334705914
inq_last_6mths:0,5.861118500011989e-07
inq_last_6mths:1-2,9.734508498796383e-05
inq_last_6mths:3-6,0.016635728721373713
open_acc:1-3,0.999003408163896
open_acc:4-12,0.9989991641846446
open_acc:13-17,0.9989985190802854
open_acc:18-22,0.9989981469028959
open_acc:23-25,0.9990023805959611
open_acc:26-30,0.9989950565073322
open_acc:>=31,0.9989960301044885
pub_rec:3-4,0.8058418508436088
pub_rec:>=5,0.8217116966043667
total_acc:28-51,0.0029368229584245498
total_acc:>=52,0.38493500560129645
acc_now_delinq:>=1,0.043405440168208034
total_rev_hi_lim:5K-10K,0.2681343695644144
total_rev_hi_lim:10K-20K,0.4607050906630614
total_rev_hi_lim:20K-30K,0.9231934344857713
total_rev_hi_lim:30K-40K,0.8330747114279434
total_rev_hi_lim:40K-55K,0.08647183668137436
total_rev_hi_lim:55K-95K,0.07904303383462696
total_rev_hi_lim:>95K,0.0021596137761619606
annual_inc:20K-30K,0.14097978954570015
annual_inc:30K-40K,0.7063921685544898
annual_inc:40K-50K,0.01420468629750766
annual_inc:50K-60K,0.00045571868458306724
annual_inc:60K-70K,2.532415089601265e-08
annual_inc:70K-80K,1.8677600321594265e-11
annual_inc:80K-90K,3.528176001429159e-14
annual_inc:90K-100K,1.1023558999516688e-16
annual_inc:100K-120K,1.8078095734593166e-21
annual_inc:120K-140K,4.135355582070953e-25
annual_inc:>140K,7.803427603925337e-21
dti:<=1.4,0.022746377090919746
dti:1.4-3.5,2.353476160421882e-06
dti:3.5-7.7,1.3969506488769986e-08
dti:7.7-10.5,9.490476274056852e-07
dti:10.5-16.1,5.762486566556703e-05
dti:16.1-20.3,0.009169939752690478
dti:20.3-21.7,0.016108444585675914
dti:21.7-22.4,0.059818893685531234
dti:22.4-35,0.3396449644738915
mths_since_last_delinq:Missing,0.10763478454943627
mths_since_last_delinq:4-30,0.0021822074229252164
mths_since_last_delinq:31-56,0.007345307881301957
mths_since_last_delinq:>=57,0.0359643593853312
mths_since_last_record:Missing,0.0001518906066470759
mths_since_last_record:3-20,0.002242973058424558
mths_since_last_record:21-31,0.0019410226549802592
mths_since_last_record:32-80,8.552689003206173e-09
mths_since_last_record:81-86,0.05370457708043427
mths_since_last_record:>86,0.005838729938082966
